"strain","orthofinder_orthogroup","sample","raw_count"
"Halomonas","OG0000441","D55MPa1",721
"Halomonas","OG0000442","D55MPa1",8451
"Halomonas","OG0000443","D55MPa1",2656
"Halomonas","OG0000444","D55MPa1",69
"Halomonas","OG0000445","D55MPa1",3492
"Halomonas","OG0000446","D55MPa1",4653
"Halomonas","OG0000447","D55MPa1",114
"Halomonas","OG0000448","D55MPa1",105
"Halomonas","OG0000449","D55MPa1",0
"Halomonas","OG0000450","D55MPa1",1015
"Halomonas","OG0000451","D55MPa1",182
"Halomonas","OG0000452","D55MPa1",490
"Halomonas","OG0000453","D55MPa1",2523
"Halomonas","OG0000454","D55MPa1",40
"Halomonas","OG0000455","D55MPa1",601
"Halomonas","OG0000456","D55MPa1",251
"Halomonas","OG0000457","D55MPa1",468
"Halomonas","OG0000458","D55MPa1",17081
"Halomonas","OG0000459","D55MPa1",513
"Halomonas","OG0000460","D55MPa1",3842
"Halomonas","OG0000461","D55MPa1",25
"Halomonas","OG0000462","D55MPa1",67
"Halomonas","OG0000472","D55MPa1",58
"Halomonas","OG0000477","D55MPa1",267
"Halomonas","OG0000478","D55MPa1",985
"Halomonas","OG0000479","D55MPa1",992
"Halomonas","OG0000480","D55MPa1",575
"Halomonas","OG0000481","D55MPa1",2594
"Halomonas","OG0000482","D55MPa1",149
"Halomonas","OG0000484","D55MPa1",1691
"Halomonas","OG0000485","D55MPa1",627
"Halomonas","OG0000486","D55MPa1",0
"Halomonas","OG0000487","D55MPa1",185
"Halomonas","OG0000488","D55MPa1",3157
"Halomonas","OG0000489","D55MPa1",1166
"Halomonas","OG0000490","D55MPa1",44
"Halomonas","OG0000491","D55MPa1",3876
"Halomonas","OG0000492","D55MPa1",391
"Halomonas","OG0000493","D55MPa1",913
"Halomonas","OG0000494","D55MPa1",401
"Halomonas","OG0000495","D55MPa1",199
"Halomonas","OG0000496","D55MPa1",550
"Halomonas","OG0000497","D55MPa1",318
"Halomonas","OG0000498","D55MPa1",197
"Halomonas","OG0000499","D55MPa1",441
"Halomonas","OG0000501","D55MPa1",274
"Halomonas","OG0000503","D55MPa1",2887
"Halomonas","OG0000504","D55MPa1",199
"Halomonas","OG0000506","D55MPa1",2206
"Halomonas","OG0000507","D55MPa1",126
"Halomonas","OG0000510","D55MPa1",10
"Halomonas","OG0000511","D55MPa1",1321
"Halomonas","OG0000512","D55MPa1",992
"Halomonas","OG0000513","D55MPa1",521
"Halomonas","OG0000515","D55MPa1",141
"Halomonas","OG0000516","D55MPa1",693
"Halomonas","OG0000517","D55MPa1",724
"Halomonas","OG0000518","D55MPa1",2265
"Halomonas","OG0000519","D55MPa1",249
"Halomonas","OG0000520","D55MPa1",573
"Halomonas","OG0000521","D55MPa1",864
"Halomonas","OG0000522","D55MPa1",329
"Halomonas","OG0000523","D55MPa1",666
"Halomonas","OG0000524","D55MPa1",254
"Halomonas","OG0000525","D55MPa1",248
"Halomonas","OG0000526","D55MPa1",314
"Halomonas","OG0000527","D55MPa1",380
"Halomonas","OG0000528","D55MPa1",658
"Halomonas","OG0000529","D55MPa1",285
"Halomonas","OG0000530","D55MPa1",48
"Halomonas","OG0000531","D55MPa1",515
"Halomonas","OG0000532","D55MPa1",1474
"Halomonas","OG0000533","D55MPa1",8255
"Halomonas","OG0000534","D55MPa1",1113
"Halomonas","OG0000535","D55MPa1",2534
"Halomonas","OG0000536","D55MPa1",526
"Halomonas","OG0000537","D55MPa1",12759
"Halomonas","OG0000538","D55MPa1",5090
"Halomonas","OG0000539","D55MPa1",8661
"Halomonas","OG0000540","D55MPa1",2197
"Halomonas","OG0000541","D55MPa1",125
"Halomonas","OG0000542","D55MPa1",717
"Halomonas","OG0000543","D55MPa1",269
"Halomonas","OG0000544","D55MPa1",160
"Halomonas","OG0000547","D55MPa1",2839
"Halomonas","OG0000549","D55MPa1",32
"Halomonas","OG0000550","D55MPa1",30187
"Halomonas","OG0000552","D55MPa1",117
"Halomonas","OG0000553","D55MPa1",438
"Halomonas","OG0000555","D55MPa1",328
"Halomonas","OG0000556","D55MPa1",192
"Halomonas","OG0000557","D55MPa1",238
"Halomonas","OG0000558","D55MPa1",1418
"Halomonas","OG0000559","D55MPa1",2317
"Halomonas","OG0000560","D55MPa1",308
"Halomonas","OG0000561","D55MPa1",445
"Halomonas","OG0000562","D55MPa1",1374
"Halomonas","OG0000563","D55MPa1",162
"Halomonas","OG0000565","D55MPa1",8250
"Halomonas","OG0000566","D55MPa1",804
"Halomonas","OG0000567","D55MPa1",286
"Halomonas","OG0000568","D55MPa1",298
"Halomonas","OG0000569","D55MPa1",305
"Halomonas","OG0000570","D55MPa1",755
"Halomonas","OG0000571","D55MPa1",108
"Halomonas","OG0000572","D55MPa1",1301
"Halomonas","OG0000573","D55MPa1",970
"Halomonas","OG0000574","D55MPa1",1528
"Halomonas","OG0000575","D55MPa1",190
"Halomonas","OG0000576","D55MPa1",53
"Halomonas","OG0000577","D55MPa1",176
"Halomonas","OG0000578","D55MPa1",889
"Halomonas","OG0000579","D55MPa1",24
"Halomonas","OG0000581","D55MPa1",1988
"Halomonas","OG0000582","D55MPa1",4184
"Halomonas","OG0000583","D55MPa1",775
"Halomonas","OG0000584","D55MPa1",839
"Halomonas","OG0000585","D55MPa1",270
"Halomonas","OG0000586","D55MPa1",151
"Halomonas","OG0000587","D55MPa1",1553
"Halomonas","OG0000588","D55MPa1",66
"Halomonas","OG0000589","D55MPa1",368
"Halomonas","OG0000590","D55MPa1",433
"Halomonas","OG0000591","D55MPa1",717
"Halomonas","OG0000592","D55MPa1",219
"Halomonas","OG0000593","D55MPa1",1068
"Halomonas","OG0000594","D55MPa1",227
"Halomonas","OG0000595","D55MPa1",1172
"Halomonas","OG0000596","D55MPa1",271
"Halomonas","OG0000597","D55MPa1",890
"Halomonas","OG0000598","D55MPa1",169
"Halomonas","OG0000599","D55MPa1",1320
"Halomonas","OG0000600","D55MPa1",3526
"Halomonas","OG0000601","D55MPa1",1417
"Halomonas","OG0000602","D55MPa1",1677
"Halomonas","OG0000603","D55MPa1",4234
"Halomonas","OG0000604","D55MPa1",503
"Halomonas","OG0000605","D55MPa1",858
"Halomonas","OG0000606","D55MPa1",216
"Halomonas","OG0000607","D55MPa1",620
"Halomonas","OG0000608","D55MPa1",444
"Halomonas","OG0000609","D55MPa1",160
"Halomonas","OG0000610","D55MPa1",162
"Halomonas","OG0000611","D55MPa1",580
"Halomonas","OG0000612","D55MPa1",122
"Halomonas","OG0000613","D55MPa1",1314
"Halomonas","OG0000614","D55MPa1",1428
"Halomonas","OG0000615","D55MPa1",71
"Halomonas","OG0000616","D55MPa1",542
"Halomonas","OG0000617","D55MPa1",1360
"Halomonas","OG0000618","D55MPa1",0
"Halomonas","OG0000619","D55MPa1",0
"Halomonas","OG0000620","D55MPa1",1479
"Halomonas","OG0000621","D55MPa1",30
"Halomonas","OG0000622","D55MPa1",1113
"Halomonas","OG0000623","D55MPa1",349
"Halomonas","OG0000624","D55MPa1",8488
"Halomonas","OG0000625","D55MPa1",914
"Halomonas","OG0000626","D55MPa1",0
"Halomonas","OG0000627","D55MPa1",2093
"Halomonas","OG0000628","D55MPa1",658
"Halomonas","OG0000629","D55MPa1",369
"Halomonas","OG0000630","D55MPa1",43
"Halomonas","OG0000631","D55MPa1",616
"Halomonas","OG0000632","D55MPa1",290
"Halomonas","OG0000633","D55MPa1",92
"Halomonas","OG0000634","D55MPa1",389
"Halomonas","OG0000635","D55MPa1",195
"Halomonas","OG0000636","D55MPa1",422
"Halomonas","OG0000637","D55MPa1",11612
"Halomonas","OG0000638","D55MPa1",258
"Halomonas","OG0000639","D55MPa1",474
"Halomonas","OG0000640","D55MPa1",647
"Halomonas","OG0000641","D55MPa1",185
"Halomonas","OG0000642","D55MPa1",1228
"Halomonas","OG0000643","D55MPa1",586
"Halomonas","OG0000644","D55MPa1",2350
"Halomonas","OG0000645","D55MPa1",1099
"Halomonas","OG0000646","D55MPa1",1318
"Halomonas","OG0000648","D55MPa1",584
"Halomonas","OG0000649","D55MPa1",137
"Halomonas","OG0000650","D55MPa1",1163
"Halomonas","OG0000651","D55MPa1",339
"Halomonas","OG0000652","D55MPa1",268
"Halomonas","OG0000653","D55MPa1",374
"Halomonas","OG0000654","D55MPa1",845
"Halomonas","OG0000655","D55MPa1",4995
"Halomonas","OG0000656","D55MPa1",0
"Halomonas","OG0000657","D55MPa1",768
"Halomonas","OG0000658","D55MPa1",328
"Halomonas","OG0000659","D55MPa1",357
"Halomonas","OG0000660","D55MPa1",235
"Halomonas","OG0000661","D55MPa1",1566
"Halomonas","OG0000662","D55MPa1",289
"Halomonas","OG0000663","D55MPa1",3213
"Halomonas","OG0000664","D55MPa1",874
"Halomonas","OG0000665","D55MPa1",427
"Halomonas","OG0000666","D55MPa1",114
"Halomonas","OG0000667","D55MPa1",314
"Halomonas","OG0000668","D55MPa1",292
"Halomonas","OG0000669","D55MPa1",325
"Halomonas","OG0000671","D55MPa1",854
"Halomonas","OG0000672","D55MPa1",1431
"Halomonas","OG0000673","D55MPa1",307
"Halomonas","OG0000674","D55MPa1",779
"Halomonas","OG0000675","D55MPa1",419
"Halomonas","OG0000676","D55MPa1",734
"Halomonas","OG0000677","D55MPa1",57
"Halomonas","OG0000678","D55MPa1",223
"Halomonas","OG0000679","D55MPa1",2340
"Halomonas","OG0000680","D55MPa1",2317
"Halomonas","OG0000681","D55MPa1",630
"Halomonas","OG0000684","D55MPa1",845
"Halomonas","OG0000685","D55MPa1",706
"Halomonas","OG0000686","D55MPa1",406
"Halomonas","OG0000687","D55MPa1",1599
"Halomonas","OG0000688","D55MPa1",1618
"Halomonas","OG0000689","D55MPa1",633
"Halomonas","OG0000690","D55MPa1",438
"Halomonas","OG0000691","D55MPa1",420
"Halomonas","OG0000692","D55MPa1",7149
"Halomonas","OG0000693","D55MPa1",0
"Halomonas","OG0000694","D55MPa1",1501
"Halomonas","OG0000695","D55MPa1",283
"Halomonas","OG0000696","D55MPa1",843
"Halomonas","OG0000697","D55MPa1",958
"Halomonas","OG0000698","D55MPa1",349
"Halomonas","OG0000699","D55MPa1",39
"Halomonas","OG0000700","D55MPa1",1194
"Halomonas","OG0000701","D55MPa1",395
"Halomonas","OG0000702","D55MPa1",43
"Halomonas","OG0000703","D55MPa1",310
"Halomonas","OG0000704","D55MPa1",268
"Halomonas","OG0000705","D55MPa1",429
"Halomonas","OG0000706","D55MPa1",2221
"Halomonas","OG0000707","D55MPa1",193
"Halomonas","OG0000708","D55MPa1",6049
"Halomonas","OG0000709","D55MPa1",5047
"Halomonas","OG0000710","D55MPa1",118
"Halomonas","OG0000711","D55MPa1",576
"Halomonas","OG0000712","D55MPa1",204
"Halomonas","OG0000713","D55MPa1",454
"Halomonas","OG0000714","D55MPa1",814
"Halomonas","OG0000715","D55MPa1",370
"Halomonas","OG0000716","D55MPa1",2991
"Halomonas","OG0000717","D55MPa1",1134
"Halomonas","OG0000718","D55MPa1",1138
"Halomonas","OG0000719","D55MPa1",1527
