contrast,orthofinder_orthogroup,member_strains,n_member_strains,Halomonas_present,Psychrobacter_present,Aequorivita_present,Sphingopyxis_present,Halomonas_direction,Psychrobacter_direction,Aequorivita_direction,Sphingopyxis_direction
D55_vs_D0,OG0000753,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0000755,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000756,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000757,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000758,Halomonas;Aequorivita;Sphingopyxis,3,True,False,True,True,up,,up,up
D55_vs_D0,OG0000759,Halomonas;Aequorivita;Sphingopyxis,3,True,False,True,True,up,,up,up
D55_vs_D0,OG0000760,Halomonas;Aequorivita;Sphingopyxis,3,True,False,True,True,up,,up,up
D55_vs_D0,OG0000761,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000762,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000763,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000764,Psychrobacter;Aequorivita,2,False,True,True,False,,up,up,
D55_vs_D0,OG0000765,Aequorivita;Sphingopyxis,2,False,False,True,True,,,up,up
D55_vs_D0,OG0000766,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000767,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000768,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000769,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000770,Psychrobacter;Aequorivita;Sphingopyxis,3,False,True,True,True,,up,up,up
D55_vs_D0,OG0000771,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,up
D55_vs_D0,OG0000772,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000773,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000774,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000775,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,up
D55_vs_D0,OG0000776,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,up
D55_vs_D0,OG0000777,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,up
D55_vs_D0,OG0000778,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,up
D55_vs_D0,OG0000779,Psychrobacter;Aequorivita;Sphingopyxis,3,False,True,True,True,,up,up,up
D55_vs_D0,OG0000780,Sphingopyxis,1,False,False,False,True,,,,up
