panel,comparison_label,strain,contrast,orthofinder_orthogroup,OG_gene_symbol,logCPM,logFC,FDR,ma_class_from_code
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000233,yceF,4.11167114753233,-0.566909955312421,0.131460316850452,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000234,cysK,10.1021510193748,-0.619569963398543,0.0001525254115472,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000235,rpoD,10.9427119406484,-0.470540745158152,0.187323723109335,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000236,ykfC,7.61937399231094,0.0574820629460979,0.684565125727544,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000237,mutS,10.8500674987235,-0.200738177622424,0.193834911180706,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000238,hisIE,3.08011663261447,0.181151019479782,0.64967978385703,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000239,lpxC-fabZ,9.6721405810337,-0.355855970971171,0.0283338850699154,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000240,hchA,9.45963273785862,1.44280883661245,8.78404569117357e-06,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000241,lon,11.2863340776812,1.74212057879952,2.52328130245404e-06,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000242,bepA,9.88444773633603,1.38677459969802,2.85923125235546e-07,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000243,ctaB,9.28943470282223,0.115061213740455,0.599651808721036,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000244,tonB,11.8835080263871,0.0340839435738826,0.84173490810484,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000245,coxAC,11.6998984336225,-0.402997068321962,0.122293903621747,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000246,ybgC,6.53825200063257,0.14021997436246,0.49978644358298,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000247,tatD,6.66559776922295,0.204520094761913,0.296529149758353,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000248,sucB,10.7559151801745,-0.832308853229579,0.0069525214209217,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000249,mgtE,8.12431894351318,0.485600990121524,0.0031167029226764,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000250,serB-plsC,5.78197628787738,0.452621696397437,0.0552857326100895,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000251,troA,8.22803903546623,-0.0498043732190497,0.828416326079745,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000252,ssb,7.3158043408493,0.0881364938404608,0.59471495572171,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000253,cvrA,7.40207326396607,0.459355543464276,0.0150916165880168,mid
