orthofinder_orthogroup,strain,contrast,logFC,FDR,OG_gene_symbol,representative_product,ko_terms,pathway_names,cog_category_names,min_FDR,max_abs_logFC
OG0002073,Halomonas,D55_vs_D0,1.15506259041686,0.0006299667945293,acrR,TetR/AcrR family transcriptional regulator,,,K: Transcription,0.0006299667945293,1.15506259041686
OG0000429,Sphingopyxis,D55_vs_D0,1.43276546514422,0.0006400732649007,gene0420,Transposase,K07483,,L: Replication;recombination and repair,0.0006400732649007,1.43276546514422
OG0001083,Halomonas,D55_vs_D0,-1.0357275796984,0.0006614347125433,gene2451,DUF1853 family protein,K09977,,S: Function unknown,0.0006614347125433,1.0357275796984
OG0000710,Aequorivita,D55_vs_D0,-1.11851401007702,0.0006835840521513,ada,bifunctional DNA-binding transcriptional regulator/O6-methylguanine-DNA methyltransferase Ada,K10778;K00567,,K: Transcription;L: Replication;recombination and repair;F: Nucleotide transport and metabolism,0.0006835840521513,1.11851401007702
OG0001022,Aequorivita,D55_vs_D0,-1.60256537257007,0.0007055166335097,vexF,copper transporter,K18989,,V: Defense mechanisms,0.0007055166335097,1.60256537257007
OG0000116,Aequorivita,D55_vs_D0,-1.29881135954886,0.0007402630815977,mmcO,copper oxidase,,,Q: Secondary metabolites biosynthesis;transport and catabolism,0.0007402630815977,1.29881135954886
OG0002146,Halomonas,D55_vs_D0,-1.44862480682896,0.0007943016398082,gene3562,Replicative DNA helicase,,,S: Function unknown,0.0007943016398082,1.44862480682896
OG0000714,Aequorivita,D55_vs_B55,-1.32747775142634,0.0007984442159785,hemC,hydroxymethylbilane synthase,K01749;K02492,Biosynthesis of cofactors;Biosynthesis of secondary metabolites;Metabolic pathways;Microbial metabolism in diverse environments;Porphyrin metabolism,H: Coenzyme transport and metabolism,0.0007984442159785,1.32747775142634
OG0001102,Aequorivita,D55_vs_B55,1.00718602343934,0.000800982553606,estB,dienelactone hydrolase family protein,K06999,,S: Function unknown,0.000800982553606,1.00718602343934
OG0001637,Aequorivita,D55_vs_B55,1.0686366397722,0.0008319953926957,UMF1,MULTISPECIES: MFS transporter,K06902,Autophagy - yeast,S: Function unknown,0.0008319953926957,1.0686366397722
OG0001608,Halomonas,D55_vs_B55,2.33801743318374,0.0008386801435995,gene0796,HNH endonuclease,,,S: Function unknown,0.0008386801435995,2.33801743318374
OG0000312,Halomonas,D55_vs_B55,1.06910575876843,0.0008569629330531,norM,MATE family efflux transporter,K26937;K26939,,V: Defense mechanisms,0.0008569629330531,1.06910575876843
OG0002119,Halomonas,D55_vs_D0,-1.09654888917971,0.0008601026927139,gene3151,MULTISPECIES: hypothetical protein,,,,0.0008601026927139,1.13449880652611
